,dataset,epsilon,feature,resolution,mean MSE ALE generic,std ALE generic,mean MSE ALE laplace,std ALE laplace,splits
0,Adult Income,0.5,age,,0.3068953585205032,0.22356582879910145,0.00026661826297807924,0.00013973042367475055,
1,Adult Income,0.5,capital-gain,,0.3175717216448833,0.21384811583320018,0.07895867794284038,0.02763544777088149,
2,Adult Income,0.5,capital-loss,,0.2773887192274993,0.09491482072648026,0.0074672868774071696,0.003530512622989155,
3,Adult Income,0.5,education,,0.2950917520816019,0.12309696973023236,0.0005126293403830126,0.0003621645615549858,
4,Adult Income,0.5,education-num,,0.2935817713709299,0.12815593927054492,0.0008049507319065485,0.0004881926395312509,
5,Adult Income,0.5,hours-per-week,,0.24677325817301204,0.08742605514665869,0.00034634772803218694,0.0003013459741355909,
6,Adult Income,0.5,marital-status,,0.04049183306489865,0.02012793360213502,4.9533514541509574e-05,3.9732779575378025e-05,
7,Adult Income,0.5,native-country,,1.5373490695264063,0.3767126513510239,17.16209274491637,35.80420515306154,
8,Adult Income,0.5,occupation,,0.2263599821002081,0.1295510879717512,0.0004046030542469845,0.0004608637704092652,
9,Adult Income,0.5,race,,0.03345699333613825,0.04191108512315638,0.00016923343916297012,0.0002133639878854687,
10,Adult Income,0.5,relationship,,0.034834533974283516,0.030207469774580383,1.0318374128636375e-05,1.4290206668755243e-05,
11,Adult Income,0.5,sex,,0.007713620533810031,0.0069500536802023895,5.6306072766220476e-08,5.991659309516659e-08,
12,Adult Income,0.5,workclass,,0.05600910267503634,0.05304068289981056,3.6170497806327234e-05,6.035329756786563e-05,
13,Adult Income,1.0,age,,0.06469454406535038,0.025072156941105237,0.0001626118857741441,7.189684262348937e-05,
14,Adult Income,1.0,capital-gain,,0.10288694182111176,0.028425897738032883,0.08950942105009384,0.02601820347849412,
15,Adult Income,1.0,capital-loss,,0.09294024588931962,0.03497527670839823,0.00809726825779496,0.0017003108418850808,
16,Adult Income,1.0,education,,0.06675260321746745,0.03530744794965857,0.00017193079678972165,0.00011974218821354414,
17,Adult Income,1.0,education-num,,0.05935232002259416,0.025865766577063437,6.91866384627568e-05,3.406899718674519e-05,
18,Adult Income,1.0,hours-per-week,,0.056204039148837405,0.02563482089926348,0.00015459812365463814,0.00016308776972192006,
19,Adult Income,1.0,marital-status,,0.01053487922002054,0.006494419209200212,9.988868292212216e-06,1.5349659375713337e-05,
20,Adult Income,1.0,native-country,,0.4036220688599725,0.15756757307395813,5.035109006065123,12.492900995207988,
21,Adult Income,1.0,occupation,,0.055153981984334355,0.03627799824634926,4.4473334954982275e-05,2.4616071619745155e-05,
22,Adult Income,1.0,race,,0.00916240381299166,0.005934457059479595,4.321793000091706e-05,5.572028880821317e-05,
23,Adult Income,1.0,relationship,,0.0032365097002838997,0.0018453613257485492,5.7285023830756605e-06,1.1095185616379422e-05,
24,Adult Income,1.0,sex,,0.0007580359283670805,0.0007228878157660071,4.555685940694493e-08,7.443157793772678e-08,
25,Adult Income,1.0,workclass,,0.021184636586548657,0.016179242982142336,4.851505091516175e-06,3.122624385252378e-06,
26,Adult Income,2.0,age,,0.0156826135561118,0.005845163953678518,0.00011129439499111011,2.7001571111694643e-05,
