dataset,epsilon,feature,feature_index,repetition,resolution,mse,seed
Adult Income,0.5,age,0,0,20,0.27842193510763663,85062
Adult Income,0.5,workclass,1,0,20,0.03876982203161018,63696
Adult Income,0.5,education,2,0,20,0.3687613127857402,51113
Adult Income,0.5,education-num,3,0,20,0.3324822869995902,26978
Adult Income,0.5,marital-status,4,0,20,0.05498701228286693,30782
Adult Income,0.5,occupation,5,0,20,0.439191196001213,4097
Adult Income,0.5,relationship,6,0,20,0.07072109598203385,7524
Adult Income,0.5,race,7,0,20,0.017748060667849848,1652
Adult Income,0.5,sex,8,0,20,0.007296024275818772,17526
Adult Income,0.5,capital-gain,9,0,20,0.16459496453477704,81327
Adult Income,0.5,capital-loss,10,0,20,0.2226607840360099,64941
Adult Income,0.5,hours-per-week,11,0,20,0.17587360473057037,91275
Adult Income,0.5,native-country,12,0,20,1.1658641757427555,50362
Adult Income,0.5,age,0,1,20,0.19079264999301698,60663
Adult Income,0.5,workclass,1,1,20,0.20042793317302926,97074
Adult Income,0.5,education,2,1,20,0.19203773374017136,72949
Adult Income,0.5,education-num,3,1,20,0.547878482303928,63227
Adult Income,0.5,marital-status,4,1,20,0.07003173177668917,54362
Adult Income,0.5,occupation,5,1,20,0.2076331964357024,55991
Adult Income,0.5,relationship,6,1,20,0.01385786249637555,93507
Adult Income,0.5,race,7,1,20,0.024311815662081345,27734
Adult Income,0.5,sex,8,1,20,0.01579143669548763,81585
Adult Income,0.5,capital-gain,9,1,20,0.195679607887592,67087
Adult Income,0.5,capital-loss,10,1,20,0.3169451199639386,273
Adult Income,0.5,hours-per-week,11,1,20,0.3937851177313296,39414
Adult Income,0.5,native-country,12,1,20,1.1989874734698651,85740
Adult Income,0.5,age,0,2,20,0.2991407585974495,55431
Adult Income,0.5,workclass,1,2,20,0.03445137336828683,3358
Adult Income,0.5,education,2,2,20,0.5364119517038847,76488
Adult Income,0.5,education-num,3,2,20,0.22379041187225443,72965
Adult Income,0.5,marital-status,4,2,20,0.021485792021689622,84657
Adult Income,0.5,occupation,5,2,20,0.25859049353407315,17565
Adult Income,0.5,relationship,6,2,20,0.018430020697041995,8928
Adult Income,0.5,race,7,2,20,0.017870406587026745,86317
Adult Income,0.5,sex,8,2,20,0.020889621070030052,2210
Adult Income,0.5,capital-gain,9,2,20,0.9059798147483229,54146
Adult Income,0.5,capital-loss,10,2,20,0.1414624746895958,8039
Adult Income,0.5,hours-per-week,11,2,20,0.3271429424428722,29971
Adult Income,0.5,native-country,12,2,20,2.080261148396088,48106
Adult Income,0.5,age,0,3,20,0.19216574011289295,42268
Adult Income,0.5,workclass,1,3,20,0.08353985735929827,40323
Adult Income,0.5,education,2,3,20,0.37727103204465307,2831
Adult Income,0.5,education-num,3,3,20,0.09367342586684722,535
Adult Income,0.5,marital-status,4,3,20,0.04135326716975329,12428
Adult Income,0.5,occupation,5,3,20,0.47852481229442356,828
Adult Income,0.5,relationship,6,3,20,0.03970608208212527,67062
Adult Income,0.5,race,7,3,20,0.02272924815595762,52561
Adult Income,0.5,sex,8,3,20,0.002178380524447615,64718
Adult Income,0.5,capital-gain,9,3,20,0.27739213257986217,25729
Adult Income,0.5,capital-loss,10,3,20,0.2527685492947411,61538
Adult Income,0.5,hours-per-week,11,3,20,0.17842647564759231,76405
Adult Income,0.5,native-country,12,3,20,1.562939997739863,38367
Adult Income,0.5,age,0,4,20,0.38846077199527124,46092
Adult Income,0.5,workclass,1,4,20,0.020535508416275747,99720
Adult Income,0.5,education,2,4,20,0.2570757396802278,80498
Adult Income,0.5,education-num,3,4,20,0.3444280484636269,98083
Adult Income,0.5,marital-status,4,4,20,0.04455259606898245,37952
Adult Income,0.5,occupation,5,4,20,0.20516452902422092,68554
Adult Income,0.5,relationship,6,4,20,0.01882877637970004,95010
Adult Income,0.5,race,7,4,20,0.025212224925772686,65045
Adult Income,0.5,sex,8,4,20,0.016245431203456746,84031
Adult Income,0.5,capital-gain,9,4,20,0.13860302297349575,68844
Adult Income,0.5,capital-loss,10,4,20,0.380937191029605,70400
Adult Income,0.5,hours-per-week,11,4,20,0.2107318472371951,38892
Adult Income,0.5,native-country,12,4,20,1.4473047161897314,87515
Adult Income,0.5,age,0,5,20,0.14034220160696959,13509
Adult Income,0.5,workclass,1,5,20,0.0374727493887475,57890
Adult Income,0.5,education,2,5,20,0.4325619202616592,72148
Adult Income,0.5,education-num,3,5,20,0.16756859799018667,84548
Adult Income,0.5,marital-status,4,5,20,0.022147352096091026,52535
Adult Income,0.5,occupation,5,5,20,0.15742581241723702,37541
Adult Income,0.5,relationship,6,5,20,0.047496353291751885,31024
Adult Income,0.5,race,7,5,20,0.013225931493754377,42295
Adult Income,0.5,sex,8,5,20,0.002865081067983344,48583
Adult Income,0.5,capital-gain,9,5,20,0.3626147215074212,71882
Adult Income,0.5,capital-loss,10,5,20,0.10082975441448665,88948
Adult Income,0.5,hours-per-week,11,5,20,0.39060697061159017,7294
Adult Income,0.5,native-country,12,5,20,2.0657178174010835,93404
Adult Income,0.5,age,0,6,20,0.10327444341806415,53134
Adult Income,0.5,workclass,1,6,20,0.07884626553440506,35779
Adult Income,0.5,education,2,6,20,0.16409804567952618,67273
Adult Income,0.5,education-num,3,6,20,0.27214985259329694,57152
Adult Income,0.5,marital-status,4,6,20,0.06887060902604066,25460
Adult Income,0.5,occupation,5,6,20,0.11420535988644821,32186
Adult Income,0.5,relationship,6,6,20,0.10547573821897531,71951
Adult Income,0.5,race,7,6,20,0.15829087054060112,59430
Adult Income,0.5,sex,8,6,20,0.006992261563669877,50441
Adult Income,0.5,capital-gain,9,6,20,0.1718125144531138,33791
Adult Income,0.5,capital-loss,10,6,20,0.2597062708693269,76065
Adult Income,0.5,hours-per-week,11,6,20,0.2593879409809625,39161
Adult Income,0.5,native-country,12,6,20,1.7507560873916777,32817
Adult Income,0.5,age,0,7,20,0.28883105510830825,89027
Adult Income,0.5,workclass,1,7,20,0.03177013216794575,26392
Adult Income,0.5,education,2,7,20,0.1736285596067409,22715
Adult Income,0.5,education-num,3,7,20,0.2761605745302588,71417
Adult Income,0.5,marital-status,4,7,20,0.05091806834167216,62318
Adult Income,0.5,occupation,5,7,20,0.11207932967041216,4854
Adult Income,0.5,relationship,6,7,20,0.006670907636541934,8401
Adult Income,0.5,race,7,7,20,0.024720951024182886,37713
Adult Income,0.5,sex,8,7,20,0.00021953526698615313,83264
Adult Income,0.5,capital-gain,9,7,20,0.3435565749504457,40084
Adult Income,0.5,capital-loss,10,7,20,0.3734335109511617,78709
Adult Income,0.5,hours-per-week,11,7,20,0.1943745822391804,31646
Adult Income,0.5,native-country,12,7,20,1.8588783898716243,23936
Adult Income,0.5,age,0,8,20,0.25351388423226,79168
Adult Income,0.5,workclass,1,8,20,0.013702317586109115,87648
Adult Income,0.5,education,2,8,20,0.16019211378761594,7929
Adult Income,0.5,education-num,3,8,20,0.46111433432177973,5856
Adult Income,0.5,marital-status,4,8,20,0.021155598970531247,67126
Adult Income,0.5,occupation,5,8,20,0.22788428223184934,33611
Adult Income,0.5,relationship,6,8,20,0.01296419545315596,57364
Adult Income,0.5,race,7,8,20,0.021371914332659267,15027
Adult Income,0.5,sex,8,8,20,0.0034236759533361107,86004
Adult Income,0.5,capital-gain,9,8,20,0.2210262123606504,45033
Adult Income,0.5,capital-loss,10,8,20,0.37840449802203274,89499
Adult Income,0.5,hours-per-week,11,8,20,0.1405850083963783,79632
Adult Income,0.5,native-country,12,8,20,0.9104664462950242,70534
Adult Income,0.5,age,0,9,20,0.9340101450331632,23064
Adult Income,0.5,workclass,1,9,20,0.02057506772465612,76700
Adult Income,0.5,education,2,9,20,0.28887911152580026,5202
Adult Income,0.5,education-num,3,9,20,0.21657169876752996,57009
Adult Income,0.5,marital-status,4,9,20,0.009416302894670417,40455
Adult Income,0.5,occupation,5,9,20,0.06290080950650177,99664
Adult Income,0.5,relationship,6,9,20,0.014194307505133947,19851
Adult Income,0.5,race,7,9,20,0.009088509971497022,94652
Adult Income,0.5,sex,8,9,20,0.0012347577168844753,9075
Adult Income,0.5,capital-gain,9,9,20,0.3944576504531514,62317
Adult Income,0.5,capital-loss,10,9,20,0.3467390390040948,58033
Adult Income,0.5,hours-per-week,11,9,20,0.19681809171244927,89894
Adult Income,0.5,native-country,12,9,20,1.3323144427663498,29869
Adult Income,1.0,age,0,0,20,0.07910868114769595,90207
Adult Income,1.0,workclass,1,0,20,0.007666532412096951,67199
Adult Income,1.0,education,2,0,20,0.041805450565437136,89039
Adult Income,1.0,education-num,3,0,20,0.054683136630641255,19951
Adult Income,1.0,marital-status,4,0,20,0.0023498196254261266,75824
Adult Income,1.0,occupation,5,0,20,0.06757023280434755,94211
Adult Income,1.0,relationship,6,0,20,0.0027081442861603216,4859
Adult Income,1.0,race,7,0,20,0.0028740982782885878,36511
Adult Income,1.0,sex,8,0,20,0.0020720900001996102,63651
Adult Income,1.0,capital-gain,9,0,20,0.1141576005932025,10549
Adult Income,1.0,capital-loss,10,0,20,0.037335948677700175,51006
Adult Income,1.0,hours-per-week,11,0,20,0.01360444992491776,62910
Adult Income,1.0,native-country,12,0,20,0.6612870784261287,76398
Adult Income,1.0,age,0,1,20,0.04235477475551411,92715
Adult Income,1.0,workclass,1,1,20,0.01586728388671606,40982
Adult Income,1.0,education,2,1,20,0.16642047420321576,44037
Adult Income,1.0,education-num,3,1,20,0.03534855536100008,47421
Adult Income,1.0,marital-status,4,1,20,0.016976800937086707,95459
Adult Income,1.0,occupation,5,1,20,0.05549105425050526,19575
Adult Income,1.0,relationship,6,1,20,0.0014203827566655347,49989
Adult Income,1.0,race,7,1,20,0.001502470988979402,4983
Adult Income,1.0,sex,8,1,20,0.0006618251707767703,42522
Adult Income,1.0,capital-gain,9,1,20,0.05659778058906538,94531
Adult Income,1.0,capital-loss,10,1,20,0.09451379773275345,62021
Adult Income,1.0,hours-per-week,11,1,20,0.0543862277284768,34961
Adult Income,1.0,native-country,12,1,20,0.3067042652723457,99509
Adult Income,1.0,age,0,2,20,0.051287934115268725,60375
Adult Income,1.0,workclass,1,2,20,0.05717226655751827,94894
Adult Income,1.0,education,2,2,20,0.0715211338259226,1633
Adult Income,1.0,education-num,3,2,20,0.05852925040784246,46004
Adult Income,1.0,marital-status,4,2,20,0.013911694210862859,83495
Adult Income,1.0,occupation,5,2,20,0.010813636951330268,75772
Adult Income,1.0,relationship,6,2,20,0.00411391798320825,40749
Adult Income,1.0,race,7,2,20,0.004185216071773471,49742
Adult Income,1.0,sex,8,2,20,0.00012569374121512632,42024
Adult Income,1.0,capital-gain,9,2,20,0.12993137502270952,52931
Adult Income,1.0,capital-loss,10,2,20,0.05641843550515341,23024
Adult Income,1.0,hours-per-week,11,2,20,0.11468898469467952,78578
Adult Income,1.0,native-country,12,2,20,0.6499754197457127,7770
Adult Income,1.0,age,0,3,20,0.058322039793767426,41465
Adult Income,1.0,workclass,1,3,20,0.01948993103507988,28186
Adult Income,1.0,education,2,3,20,0.0601884465788423,73448
Adult Income,1.0,education-num,3,3,20,0.10428111358827803,74929
Adult Income,1.0,marital-status,4,3,20,0.007844279267056404,71114
Adult Income,1.0,occupation,5,3,20,0.04039915027137554,92446
Adult Income,1.0,relationship,6,3,20,0.0010064772323594982,93205
Adult Income,1.0,race,7,3,20,0.008541988610536086,18464
Adult Income,1.0,sex,8,3,20,5.4838525772104564e-05,11493
Adult Income,1.0,capital-gain,9,3,20,0.15536586873472044,13236
Adult Income,1.0,capital-loss,10,3,20,0.11545707205356517,72901
Adult Income,1.0,hours-per-week,11,3,20,0.06668862643923537,97032
Adult Income,1.0,native-country,12,3,20,0.24195265143582464,92742
Adult Income,1.0,age,0,4,20,0.056006070440981534,66824
Adult Income,1.0,workclass,1,4,20,0.0070168775334069665,96792
Adult Income,1.0,education,2,4,20,0.08154568100707785,87126
Adult Income,1.0,education-num,3,4,20,0.039890651055036995,1470
Adult Income,1.0,marital-status,4,4,20,0.0036385239725446814,11923
Adult Income,1.0,occupation,5,4,20,0.04104066604605627,86364
Adult Income,1.0,relationship,6,4,20,0.0030074734310656533,8235
Adult Income,1.0,race,7,4,20,0.01677875132545749,98119
Adult Income,1.0,sex,8,4,20,0.00013094631330747358,82737
Adult Income,1.0,capital-gain,9,4,20,0.11323236610837313,95721
Adult Income,1.0,capital-loss,10,4,20,0.08101792520648558,36032
Adult Income,1.0,hours-per-week,11,4,20,0.06792030817872431,14876
Adult Income,1.0,native-country,12,4,20,0.5124533572823784,51686
Adult Income,1.0,age,0,5,20,0.044800855128469055,97262
Adult Income,1.0,workclass,1,5,20,0.029892139282722767,36722
Adult Income,1.0,education,2,5,20,0.04772930283085602,88993
Adult Income,1.0,education-num,3,5,20,0.038048393894681926,38383
Adult Income,1.0,marital-status,4,5,20,0.018489118826904915,82237
Adult Income,1.0,occupation,5,5,20,0.15520160771658237,22957
