dataset,epsilon,feature,feature_index,repetition,resolution,mse,seed
Adult Income,0.5,age,0,0,10,0.09612774984180744,85062
Adult Income,0.5,age,0,0,20,0.2107197168573785,63696
Adult Income,0.5,age,0,0,50,1.3508866151373353,51113
Adult Income,0.5,age,0,0,100,5.767893777400287,26978
Adult Income,0.5,capital-gain,9,0,10,0.23135545082312614,30782
Adult Income,0.5,capital-gain,9,0,20,0.7598876976920304,4097
Adult Income,0.5,capital-gain,9,0,50,1.5939063541624523,7524
Adult Income,0.5,capital-gain,9,0,100,5.7088668892308005,1652
Adult Income,0.5,age,0,1,10,0.12590497823477229,17526
Adult Income,0.5,age,0,1,20,0.19963679644525964,81327
Adult Income,0.5,age,0,1,50,2.0054246772906725,64941
Adult Income,0.5,age,0,1,100,8.898501744164655,91275
Adult Income,0.5,capital-gain,9,1,10,0.1309459387619836,50362
Adult Income,0.5,capital-gain,9,1,20,0.3179272513554562,60663
Adult Income,0.5,capital-gain,9,1,50,1.3814919591381452,97074
Adult Income,0.5,capital-gain,9,1,100,6.032849546497149,72949
Adult Income,0.5,age,0,2,10,0.1904561147298087,63227
Adult Income,0.5,age,0,2,20,0.2638946806541274,54362
Adult Income,0.5,age,0,2,50,1.2224518727044602,55991
Adult Income,0.5,age,0,2,100,6.944372946055119,93507
Adult Income,0.5,capital-gain,9,2,10,0.1752071220650555,27734
Adult Income,0.5,capital-gain,9,2,20,0.4614940560019834,81585
Adult Income,0.5,capital-gain,9,2,50,1.1167228014171129,67087
Adult Income,0.5,capital-gain,9,2,100,6.322245803920632,273
Adult Income,0.5,age,0,3,10,0.12747765889530982,39414
Adult Income,0.5,age,0,3,20,0.14792452477305326,85740
Adult Income,0.5,age,0,3,50,1.2320833144968566,55431
Adult Income,0.5,age,0,3,100,6.037784178159299,3358
Adult Income,0.5,capital-gain,9,3,10,0.16040565727416273,76488
Adult Income,0.5,capital-gain,9,3,20,0.31806223072714623,72965
Adult Income,0.5,capital-gain,9,3,50,1.7052897042915782,84657
Adult Income,0.5,capital-gain,9,3,100,8.857352371385794,17565
Adult Income,0.5,age,0,4,10,0.07880334462811944,8928
Adult Income,0.5,age,0,4,20,0.21015178087307196,86317
Adult Income,0.5,age,0,4,50,2.0839041202880217,2210
Adult Income,0.5,age,0,4,100,9.027469395481113,54146
Adult Income,0.5,capital-gain,9,4,10,0.1735152195323034,8039
Adult Income,0.5,capital-gain,9,4,20,0.44834150166724396,29971
Adult Income,0.5,capital-gain,9,4,50,1.8758231437090114,48106
Adult Income,0.5,capital-gain,9,4,100,6.405182189285031,42268
Adult Income,0.5,age,0,5,10,0.09608456711827901,40323
Adult Income,0.5,age,0,5,20,0.3664730534664141,2831
Adult Income,0.5,age,0,5,50,1.3041475548978663,535
Adult Income,0.5,age,0,5,100,5.555706762210424,12428
Adult Income,0.5,capital-gain,9,5,10,0.31678805765271406,828
Adult Income,0.5,capital-gain,9,5,20,0.3138145720401893,67062
Adult Income,0.5,capital-gain,9,5,50,2.480207195958542,52561
Adult Income,0.5,capital-gain,9,5,100,7.133300539683322,64718
Adult Income,0.5,age,0,6,10,0.03860018802035179,25729
Adult Income,0.5,age,0,6,20,0.25408665092872146,61538
Adult Income,0.5,age,0,6,50,1.4171027839036023,76405
Adult Income,0.5,age,0,6,100,6.359869625039816,38367
Adult Income,0.5,capital-gain,9,6,10,0.2351232078025513,46092
Adult Income,0.5,capital-gain,9,6,20,0.08592543780305968,99720
Adult Income,0.5,capital-gain,9,6,50,2.60427084884323,80498
Adult Income,0.5,capital-gain,9,6,100,6.2946436299350035,98083
Adult Income,0.5,age,0,7,10,0.04832908713788811,37952
Adult Income,0.5,age,0,7,20,0.22991897178701148,68554
Adult Income,0.5,age,0,7,50,1.9631025860147415,95010
Adult Income,0.5,age,0,7,100,5.788231875361582,65045
Adult Income,0.5,capital-gain,9,7,10,0.1545407236397795,84031
Adult Income,0.5,capital-gain,9,7,20,0.13860302297349575,68844
Adult Income,0.5,capital-gain,9,7,50,2.1985237192977247,70400
Adult Income,0.5,capital-gain,9,7,100,11.257229889001445,38892
Adult Income,0.5,age,0,8,10,0.027486922408978764,87515
Adult Income,0.5,age,0,8,20,0.14034220160696959,13509
Adult Income,0.5,age,0,8,50,1.8473701617370926,57890
Adult Income,0.5,age,0,8,100,10.395552552659275,72148
Adult Income,0.5,capital-gain,9,8,10,0.0853862044485229,84548
Adult Income,0.5,capital-gain,9,8,20,0.27546094326961806,52535
Adult Income,0.5,capital-gain,9,8,50,0.9340995331236882,37541
Adult Income,0.5,capital-gain,9,8,100,6.255907060103689,31024
Adult Income,0.5,age,0,9,10,0.022643715185343402,42295
Adult Income,0.5,age,0,9,20,0.17971651838510208,48583
Adult Income,0.5,age,0,9,50,1.3800418566294097,71882
Adult Income,0.5,age,0,9,100,6.805164894330562,88948
Adult Income,0.5,capital-gain,9,9,10,0.26534938559525595,7294
Adult Income,0.5,capital-gain,9,9,20,0.2233516951716885,93404
Adult Income,0.5,capital-gain,9,9,50,0.9650725012969065,53134
Adult Income,0.5,capital-gain,9,9,100,5.084768713485228,35779
Adult Income,1.0,age,0,0,10,0.00437048512380431,67273
Adult Income,1.0,age,0,0,20,0.06764468728913962,57152
Adult Income,1.0,age,0,0,50,0.4022287295108065,25460
Adult Income,1.0,age,0,0,100,1.0890474692459176,32186
Adult Income,1.0,capital-gain,9,0,10,0.1732425046341265,71951
Adult Income,1.0,capital-gain,9,0,20,0.25909957780996196,59430
Adult Income,1.0,capital-gain,9,0,50,0.603459712727575,50441
Adult Income,1.0,capital-gain,9,0,100,1.4356000511912215,33791
Adult Income,1.0,age,0,1,10,0.017266401187316427,76065
Adult Income,1.0,age,0,1,20,0.06497561099947188,39161
Adult Income,1.0,age,0,1,50,0.502685084846003,32817
Adult Income,1.0,age,0,1,100,2.5973639956072256,89027
Adult Income,1.0,capital-gain,9,1,10,0.09273575533771891,26392
Adult Income,1.0,capital-gain,9,1,20,0.08166079180276457,22715
Adult Income,1.0,capital-gain,9,1,50,0.3291312241158795,71417
Adult Income,1.0,capital-gain,9,1,100,1.1995534777080343,62318
Adult Income,1.0,age,0,2,10,0.007002595497469883,4854
Adult Income,1.0,age,0,2,20,0.07347502752480072,8401
