,dataset,epsilon,feature,resolution,mean MSE ALE generic,std ALE generic,mean MSE ALE specific,std ALE specific,splits
0,Adult Income,0.5,age,10,0.08519143262006583,0.05057375421435892,0.00022457542076793996,4.856887786624262e-05,
1,Adult Income,0.5,capital-gain,10,0.1928616967595455,0.06517086510020528,0.09531339924101152,0.03827940966793876,
2,Adult Income,0.5,age,20,0.22028648957771088,0.06196880859819176,0.00041385796708594,0.00033245517646817525,
3,Adult Income,0.5,capital-gain,20,0.33428684087019106,0.18083662637662626,0.09008782300272553,0.038444918705301846,
4,Adult Income,0.5,age,50,1.580651554310006,0.33123233962698967,0.009364128656912291,0.010425755381373915,
5,Adult Income,0.5,capital-gain,50,1.6855407761238392,0.5730133925449373,0.023968040670362952,0.016283382009521185,
6,Adult Income,0.5,age,100,7.158054775086212,1.595118710361914,0.02537111048753097,0.011740689783108566,
7,Adult Income,0.5,capital-gain,100,6.9352346632528095,1.722917995299308,0.09731948243314284,0.10623046774293277,
8,Adult Income,1.0,age,10,0.01344358066285975,0.008396816208279067,0.000204214654256,2.755262161912611e-05,
9,Adult Income,1.0,capital-gain,10,0.10741094544389251,0.032952512526596145,0.09369646485038886,0.028567091447027303,
10,Adult Income,1.0,age,20,0.06517914271360344,0.03163480123781109,0.00019070752029858013,0.00013911416665122867,
11,Adult Income,1.0,capital-gain,20,0.12215225544267264,0.0590248621695317,0.07315192817703535,0.03765788030427934,
12,Adult Income,1.0,age,50,0.419538659711536,0.10208562632211159,0.00166191215496376,0.0015967082048242065,
13,Adult Income,1.0,capital-gain,50,0.4472830603521146,0.14456443660971305,0.023407151156502902,0.013487363455213017,
14,Adult Income,1.0,age,100,1.6084473910731087,0.3852552544893279,0.00837459062525935,0.006819634780593187,
15,Adult Income,1.0,capital-gain,100,1.573015929894071,0.2887486181700354,0.03278047665642132,0.040358786252372714,
16,Adult Income,2.0,age,10,0.00475217471715602,0.0030236751020235233,0.00020784831591096997,2.1102250942334714e-05,
17,Adult Income,2.0,capital-gain,10,0.0815991376772895,0.011346464405835694,0.09504553574297439,0.03302928058254462,
18,Adult Income,2.0,age,20,0.014041292570022021,0.0052854392379209445,0.00013626099585312715,5.326621396119741e-05,
19,Adult Income,2.0,capital-gain,20,0.04858110253963858,0.013268915929129817,0.09236014323343898,0.023860686622605026,
20,Adult Income,2.0,age,50,0.11132564025444,0.033557156822658966,0.0010866433494929302,0.001497441145346229,
21,Adult Income,2.0,capital-gain,50,0.10920272949441293,0.023456524121646186,0.020038111622258804,0.011386190188926457,
22,Adult Income,2.0,age,100,0.38834120164707436,0.04827890458840005,0.00169494293050038,0.0007146295214698112,
23,Adult Income,2.0,capital-gain,100,0.4958140546749232,0.0876125623866875,0.036486506045600484,0.025905065338743122,
24,Adult Income,5.0,age,10,0.0013341570735930699,0.0014276516077638393,0.0001993227058704,8.003199471302083e-06,
