dataset,epsilon,feature,feature_index,repetition,resolution,mse,seed
Adult Income,0.5,age,0,0,20,0.00012460635592946944,85062
Adult Income,0.5,workclass,1,0,20,0.0002151810379761241,63696
Adult Income,0.5,education,2,0,20,0.0007497386659233822,51113
Adult Income,0.5,education-num,3,0,20,0.001089956564620177,26978
Adult Income,0.5,marital-status,4,0,20,2.4709203909052895e-05,30782
Adult Income,0.5,occupation,5,0,20,0.00028785851389413714,4097
Adult Income,0.5,relationship,6,0,20,6.819774697028168e-06,7524
Adult Income,0.5,race,7,0,20,0.0006390965125973895,1652
Adult Income,0.5,sex,8,0,20,5.033855261873964e-08,17526
Adult Income,0.5,capital-gain,9,0,20,0.12659174444102078,81327
Adult Income,0.5,capital-loss,10,0,20,0.009321278708263705,64941
Adult Income,0.5,hours-per-week,11,0,20,7.731007870956394e-05,91275
Adult Income,0.5,native-country,12,0,20,6.366745137804077,50362
Adult Income,0.5,age,0,1,20,0.00018313461475199827,60663
Adult Income,0.5,workclass,1,1,20,4.19776500847318e-06,97074
Adult Income,0.5,education,2,1,20,0.00033976665558605335,72949
Adult Income,0.5,education-num,3,1,20,9.34218054707847e-05,63227
Adult Income,0.5,marital-status,4,1,20,2.6660039501562275e-05,54362
Adult Income,0.5,occupation,5,1,20,2.9011277857456465e-05,55991
Adult Income,0.5,relationship,6,1,20,1.7459419267517856e-05,93507
Adult Income,0.5,race,7,1,20,5.795420292372701e-05,27734
Adult Income,0.5,sex,8,1,20,7.765957938062123e-08,81585
Adult Income,0.5,capital-gain,9,1,20,0.07993111511035525,67087
Adult Income,0.5,capital-loss,10,1,20,0.003956610663956005,273
Adult Income,0.5,hours-per-week,11,1,20,0.000131567202492016,39414
Adult Income,0.5,native-country,12,1,20,119.3885255031009,85740
Adult Income,0.5,age,0,2,20,0.00019689077285164997,55431
Adult Income,0.5,workclass,1,2,20,1.9905224438305496e-05,3358
Adult Income,0.5,education,2,2,20,2.785696959811357e-05,76488
Adult Income,0.5,education-num,3,2,20,0.0017264800076992545,72965
Adult Income,0.5,marital-status,4,2,20,1.5440646993225035e-05,84657
Adult Income,0.5,occupation,5,2,20,0.0001694857720145434,17565
Adult Income,0.5,relationship,6,2,20,6.823831753354991e-07,8928
Adult Income,0.5,race,7,2,20,7.173083015782103e-05,86317
Adult Income,0.5,sex,8,2,20,6.145289065300245e-09,2210
Adult Income,0.5,capital-gain,9,2,20,0.09026191185200502,54146
Adult Income,0.5,capital-loss,10,2,20,0.012131159388300502,8039
Adult Income,0.5,hours-per-week,11,2,20,0.00048333512444031975,29971
Adult Income,0.5,native-country,12,2,20,0.8834128339650963,48106
