dataset,epsilon,feature,feature_index,repetition,resolution,mse,seed
Adult Income,0.5,age,0,0,10,0.00017175125909985536,85062
Adult Income,0.5,age,0,0,20,0.00012296709734149235,63696
Adult Income,0.5,age,0,0,50,0.012016160901178526,51113
Adult Income,0.5,age,0,0,100,0.041731283149484606,26978
Adult Income,0.5,capital-gain,9,0,10,0.061176682929347394,30782
Adult Income,0.5,capital-gain,9,0,20,0.09467927979736343,4097
Adult Income,0.5,capital-gain,9,0,50,0.02326790970827039,7524
Adult Income,0.5,capital-gain,9,0,100,0.02615346367879677,1652
Adult Income,0.5,age,0,1,10,0.00018303388171259127,17526
Adult Income,0.5,age,0,1,20,0.00027638625018259994,81327
Adult Income,0.5,age,0,1,50,0.03742767610899862,64941
Adult Income,0.5,age,0,1,100,0.010496900424784556,91275
Adult Income,0.5,capital-gain,9,1,10,0.14301523741202576,50362
Adult Income,0.5,capital-gain,9,1,20,0.03308617038689678,60663
Adult Income,0.5,capital-gain,9,1,50,0.007405827691966228,97074
Adult Income,0.5,capital-gain,9,1,100,0.053139424514044346,72949
Adult Income,0.5,age,0,2,10,0.0002183515670718868,63227
Adult Income,0.5,age,0,2,20,0.00021158888630188133,54362
Adult Income,0.5,age,0,2,50,0.001214579968565999,55991
Adult Income,0.5,age,0,2,100,0.03744914200768805,93507
Adult Income,0.5,capital-gain,9,2,10,0.09213395311045677,27734
Adult Income,0.5,capital-gain,9,2,20,0.1167738394490772,81585
Adult Income,0.5,capital-gain,9,2,50,0.0027145074243849947,67087
Adult Income,0.5,capital-gain,9,2,100,0.12157800661110778,273
Adult Income,0.5,age,0,3,10,0.0002284548881562386,39414
Adult Income,0.5,age,0,3,20,0.00024986629168435626,85740
Adult Income,0.5,age,0,3,50,0.004178537419802382,55431
Adult Income,0.5,age,0,3,100,0.006231412209986539,3358
Adult Income,0.5,capital-gain,9,3,10,0.15693891094363,76488
Adult Income,0.5,capital-gain,9,3,20,0.06283338145756147,72965
Adult Income,0.5,capital-gain,9,3,50,0.04265779475403579,84657
Adult Income,0.5,capital-gain,9,3,100,0.15195042986146598,17565
Adult Income,0.5,age,0,4,10,0.00034301545209806873,8928
Adult Income,0.5,age,0,4,20,0.0005317737670229007,86317
Adult Income,0.5,age,0,4,50,0.0011191118008761593,2210
Adult Income,0.5,age,0,4,100,0.02322335582281707,54146
Adult Income,0.5,capital-gain,9,4,10,0.13195741932275806,8039
Adult Income,0.5,capital-gain,9,4,20,0.1067133555468382,29971
Adult Income,0.5,capital-gain,9,4,50,0.019498639220803516,48106
Adult Income,0.5,capital-gain,9,4,100,0.38618540278309865,42268
Adult Income,0.5,age,0,5,10,0.00020572953891828815,40323
Adult Income,0.5,age,0,5,20,0.00029235020861747066,2831
Adult Income,0.5,age,0,5,50,0.004173348780267347,535
Adult Income,0.5,age,0,5,100,0.032827539564737204,12428
Adult Income,0.5,capital-gain,9,5,10,0.053539268418888085,828
Adult Income,0.5,capital-gain,9,5,20,0.11103171330783873,67062
Adult Income,0.5,capital-gain,9,5,50,0.05161299132247579,52561
Adult Income,0.5,capital-gain,9,5,100,0.003753783801274999,64718
Adult Income,0.5,age,0,6,10,0.0001667836409302782,25729
Adult Income,0.5,age,0,6,20,0.000968025238149308,61538
Adult Income,0.5,age,0,6,50,0.015747378245416284,76405
Adult Income,0.5,age,0,6,100,0.03706195297104551,38367
Adult Income,0.5,capital-gain,9,6,10,0.06252684167934232,46092
Adult Income,0.5,capital-gain,9,6,20,0.0632580937798757,99720
Adult Income,0.5,capital-gain,9,6,50,0.017508196179253213,80498
Adult Income,0.5,capital-gain,9,6,100,0.05642867753194667,98083
Adult Income,0.5,age,0,7,10,0.00024845919690555976,37952
Adult Income,0.5,age,0,7,20,0.00015792459270700838,68554
Adult Income,0.5,age,0,7,50,0.0022575826945356427,95010
Adult Income,0.5,age,0,7,100,0.028470335985004255,65045
Adult Income,0.5,capital-gain,9,7,10,0.0549403005498296,84031
Adult Income,0.5,capital-gain,9,7,20,0.03185142141017372,68844
Adult Income,0.5,capital-gain,9,7,50,0.04310541026897295,70400
Adult Income,0.5,capital-gain,9,7,100,0.03752818696965912,38892
Adult Income,0.5,age,0,8,10,0.00022902607370923914,87515
Adult Income,0.5,age,0,8,20,0.00021236212936212744,13509
Adult Income,0.5,age,0,8,50,0.005791265842851405,57890
Adult Income,0.5,age,0,8,100,0.012391978466703077,72148
Adult Income,0.5,capital-gain,9,8,10,0.07023903310416695,84548
Adult Income,0.5,capital-gain,9,8,20,0.13081532874774437,52535
Adult Income,0.5,capital-gain,9,8,50,0.004661875018522123,37541
Adult Income,0.5,capital-gain,9,8,100,0.10775535867612816,31024
Adult Income,0.5,age,0,9,10,0.0002511487090780074,42295
Adult Income,0.5,age,0,9,20,0.0011153352094907599,48583
Adult Income,0.5,age,0,9,50,0.009715644806631039,71882
Adult Income,0.5,age,0,9,100,0.023827204273059274,88948
Adult Income,0.5,capital-gain,9,9,10,0.1266663449396706,7294
Adult Income,0.5,capital-gain,9,9,20,0.14983564614388603,93404
Adult Income,0.5,capital-gain,9,9,50,0.027247255114945086,53134
Adult Income,0.5,capital-gain,9,9,100,0.028722089903906612,35779
Adult Income,1.0,age,0,0,10,0.00019085077909768324,67273
Adult Income,1.0,age,0,0,20,9.011562535463295e-05,57152
Adult Income,1.0,age,0,0,50,0.0003376057290443885,25460
Adult Income,1.0,age,0,0,100,0.008911288204272954,32186
Adult Income,1.0,capital-gain,9,0,10,0.07736105213901626,71951
Adult Income,1.0,capital-gain,9,0,20,0.03264913696782587,59430
Adult Income,1.0,capital-gain,9,0,50,0.019660644128826697,50441
Adult Income,1.0,capital-gain,9,0,100,0.0031662014207207365,33791
Adult Income,1.0,age,0,1,10,0.00021110210145511177,76065
