,dataset,epsilon,feature,resolution,mean MSE PDP generic,std PDP generic,mean MSE PDP laplace,std PDP laplace,splits
0,Adult Income,0.5,age,,0.07668055258937063,0.055460970085862,3.764155891826016e-05,3.9744481681075264e-06,
1,Adult Income,0.5,capital-gain,,0.07267250830794933,0.04467033148936463,0.0022530103183772197,2.1542397163326618e-05,
2,Adult Income,0.5,capital-loss,,0.0692314746446404,0.02320754677027997,0.00070389340119013,9.541212977445635e-06,
3,Adult Income,0.5,education,,0.07384488586489692,0.03074299549931845,3.297301020062973e-06,2.042771285249307e-06,
4,Adult Income,0.5,education-num,,0.07320319553427426,0.03219505124232763,0.00021060214118809998,8.715997526274692e-06,
5,Adult Income,0.5,hours-per-week,,0.06150671202650916,0.021696459253560816,1.7430661229919378e-05,3.861903753177985e-06,
6,Adult Income,0.5,marital-status,,0.00993245207769166,0.0040611277669051985,6.902826777108584e-07,4.3793098695198624e-07,
7,Adult Income,0.5,native-country,,0.3842202098698201,0.0941020098398139,2.070117091296574e-05,4.4252973609313885e-06,
8,Adult Income,0.5,occupation,,0.05652346450751309,0.032280289781943215,2.1845531707402987e-06,1.6152375880752809e-06,
9,Adult Income,0.5,race,,0.00827562070151408,0.010352417960674142,4.1720430944356925e-07,2.2666562179558043e-07,
10,Adult Income,0.5,relationship,,0.00870565226402922,0.007546509649172942,2.4476209777021575e-07,1.640639451446987e-07,
11,Adult Income,0.5,sex,,0.001927675409943606,0.0017371519365796113,1.7025290615122342e-08,2.822972624389944e-08,
12,Adult Income,0.5,workclass,,0.013969385819990862,0.013266219102717192,5.72147426336312e-07,5.72321388604652e-07,
13,Adult Income,1.0,age,,0.01602941360655298,0.005931698310015782,3.636014024181479e-05,1.8315302727963353e-06,
14,Adult Income,1.0,capital-gain,,0.016943351422780847,0.005333358256029191,0.00225031750800047,9.586508551289538e-06,
15,Adult Income,1.0,capital-loss,,0.02469563438065015,0.009064531200391714,0.00069584539774787,2.1023603971052707e-06,
16,Adult Income,1.0,education,,0.016791970959976248,0.008903918540181906,8.185658088436143e-07,3.409944359973984e-07,
17,Adult Income,1.0,education-num,,0.014688670429083834,0.006397341713769326,0.00020680366564442,9.127726172172621e-06,
18,Adult Income,1.0,hours-per-week,,0.01398392733236172,0.006423618441245472,1.3661271202923891e-05,8.684204631865127e-07,
19,Adult Income,1.0,marital-status,,0.00385691688865631,0.0022403004792188835,1.89456584558124e-07,2.0424966890161345e-07,
20,Adult Income,1.0,native-country,,0.10090465480848047,0.03925939241830766,3.740524738830967e-06,1.1087631780202355e-06,
21,Adult Income,1.0,occupation,,0.013852327353052469,0.009092477141133955,4.6472312692166915e-07,2.5739385682073624e-07,
22,Adult Income,1.0,race,,0.00231087630444427,0.001494335287579538,9.996918828819291e-08,1.345432286513088e-07,
23,Adult Income,1.0,relationship,,0.00080949304173,0.000462030348056589,8.9803773049276e-08,6.479168308888746e-08,
24,Adult Income,1.0,sex,,0.0001895914894559371,0.00018044198964296435,6.16677623540158e-09,6.25326098131645e-09,
25,Adult Income,1.0,workclass,,0.00534339443790619,0.004071404819436413,7.079450729743146e-08,3.311900238377648e-08,
26,Adult Income,2.0,age,,0.00413688678178876,0.0016058752789787278,3.554006483880941e-05,1.1543699103873065e-06,
27,Adult Income,2.0,capital-gain,,0.00791309024268303,0.00385812182711166,0.00224709471334117,9.750156095620873e-06,
28,Adult Income,2.0,capital-loss,,0.00674056921999248,0.0023569874365688553,0.0006954302764707202,1.9885967594346995e-06,
29,Adult Income,2.0,education,,0.006450638997240581,0.001856379200218345,1.5814254818674087e-07,4.6516024457875894e-08,
30,Adult Income,2.0,education-num,,0.00391270968994816,0.00235725094668003,0.00020494774781456998,2.9121766137861732e-06,
31,Adult Income,2.0,hours-per-week,,0.0035518188013671606,0.0019242606142322353,1.3633790344364617e-05,2.522434741059965e-07,
32,Adult Income,2.0,marital-status,,0.00170505077503359,0.0005047637769566377,3.033455593853337e-08,2.0139417291513936e-08,
33,Adult Income,2.0,native-country,,0.03034247290571528,0.01659199676285123,1.1396869481906063e-06,4.336023320220574e-07,
34,Adult Income,2.0,occupation,,0.0026501605738307498,0.0013327552850274534,1.1611580729193237e-07,5.5393709999430383e-08,
35,Adult Income,2.0,race,,0.0004004335406755332,0.0004063552573937984,1.9007398761224216e-08,1.3607226493140372e-08,
36,Adult Income,2.0,relationship,,0.0004101244515854302,0.0003058026689727405,1.9200412237232546e-08,9.11623489458495e-09,
37,Adult Income,2.0,sex,,3.477635577458231e-05,3.863418695501615e-05,1.3332862571871983e-09,1.3595748592377469e-09,
38,Adult Income,2.0,workclass,,0.0005361249772707069,0.0003454573709596841,4.770496440382103e-08,4.311563565499482e-08,
39,Adult Income,5.0,age,,0.00069433136024139,0.00030795492469812643,3.5691144676418145e-05,5.61211873744318e-07,
40,Adult Income,5.0,capital-gain,,0.00247412277446734,0.0003532722334292887,0.0022513078825407997,2.4451985899627654e-06,
41,Adult Income,5.0,capital-loss,,0.0034777719322504792,0.00047391694695509144,0.0006954269839268099,1.0070274062828283e-06,
42,Adult Income,5.0,education,,0.0008138347406039298,0.0003837544195881218,2.9860345298323904e-08,1.3544530134553795e-08,
43,Adult Income,5.0,education-num,,0.00048844100549918,0.00018727085295788687,0.00020592148931349,1.1103746791239069e-06,
44,Adult Income,5.0,hours-per-week,,0.00062799279813009,0.0002470029175308475,1.350617809598578e-05,1.2639204677223183e-07,
45,Adult Income,5.0,marital-status,,0.00115565623765015,0.00018457852739516624,1.0016186361000861e-08,5.2608579071424e-09,
46,Adult Income,5.0,native-country,,0.00322765878455798,0.000589003648940111,1.8838713528296932e-07,6.070427443185382e-08,
47,Adult Income,5.0,occupation,,0.00044008469381735647,0.0005270705781730013,2.7364998396564997e-08,1.21697667692949e-08,
48,Adult Income,5.0,race,,5.4016769182339633e-05,4.751092580597487e-05,3.792612141973254e-09,3.5786402654341307e-09,
49,Adult Income,5.0,relationship,,9.58922800830799e-05,7.520737832747499e-05,3.947440206459442e-09,3.6492666099114054e-09,
50,Adult Income,5.0,sex,,1.0109834691791406e-05,9.469740194431402e-06,4.6177289740374196e-10,4.776783615596689e-10,
51,Adult Income,5.0,workclass,,0.0001340240015358891,0.00011588834942561115,6.314640048861008e-09,3.1059277645962375e-09,
52,Adult Income,10.0,age,,0.00021752675869101003,9.045661432552149e-05,3.5623151233923816e-05,1.2064713925893488e-07,
53,Adult Income,10.0,capital-gain,,0.0019411858420651299,0.00015830581719740254,0.00225128382134694,1.6586230626024087e-06,
54,Adult Income,10.0,capital-loss,,0.0028340992434075806,0.00030274595407702327,0.0006956777313635201,3.6302453064261843e-07,
55,Adult Income,10.0,education,,0.00015007334602014458,0.0001071440529135298,4.9943230680945506e-09,2.7836055953184244e-09,
56,Adult Income,10.0,education-num,,0.00014255885198308856,6.6421708629327e-05,0.00020566075051474002,6.51889565675195e-07,
57,Adult Income,10.0,hours-per-week,,0.00013762519189367155,4.307669328792312e-05,1.3427722707878677e-05,7.3855836669205e-08,
58,Adult Income,10.0,marital-status,,0.0010420813468565901,0.0001696552090408474,1.0263767267152441e-09,8.910204200592778e-10,
59,Adult Income,10.0,native-country,,0.00108116896102366,0.00032064641339316834,4.46528963789933e-08,7.678286990224778e-09,
60,Adult Income,10.0,occupation,,0.00017139031737473386,0.00010016635895509235,5.975232668831476e-09,2.5597271657970955e-09,
61,Adult Income,10.0,race,,1.5147288662517831e-05,1.0520572188406991e-05,9.411541999542345e-10,9.257921326201949e-10,
62,Adult Income,10.0,relationship,,1.9783915310316476e-05,1.1404587248582893e-05,6.679497662454576e-10,3.2038458674517106e-10,
63,Adult Income,10.0,sex,,1.3711342917271861e-06,1.852601542386713e-06,6.40774212418314e-11,5.6487488347877044e-11,
64,Adult Income,10.0,workclass,,2.272085926770493e-05,1.2679329047902801e-05,1.2518077349073196e-09,9.36409748900889e-10,
65,Bike Sharing,0.5,atemp,,70001.74122484066,38695.44987440598,11.650786202878365,6.2140096428747125,
66,Bike Sharing,0.5,holiday,,966.2520664922216,1018.7722758927682,24.863631635654023,2.644785050130978,
67,Bike Sharing,0.5,hr,,72653.94525225481,35120.79104090069,53.21166710560268,7.385725501219871,
68,Bike Sharing,0.5,hum,,76726.19920500543,25479.491592280563,8.751231815679914,2.8429567988302833,
69,Bike Sharing,0.5,mnth,,55770.266780406004,22629.736371001487,6.891549811514079,1.7173820872958034,
70,Bike Sharing,0.5,weathersit,,74651.02067418052,23668.3914970097,10.560458857155945,4.1019654743542935,
71,Bike Sharing,0.5,weekday,,63079.12775998205,33191.62582079896,9.502656174235012,2.527078512667447,
72,Bike Sharing,0.5,windspeed,,68343.01638462127,47561.157885535315,8.36759511041203,4.9094373231454735,
73,Bike Sharing,0.5,workingday,,1325.9791709802357,1198.7783174332535,0.16198967029051486,0.1569835392567962,
74,Bike Sharing,0.5,yr,,971.4782712454329,1228.4341418390359,0.2813756531444837,0.3730662591212055,
75,Bike Sharing,1.0,atemp,,16309.295324440482,7211.787998255482,5.432521216145242,1.0854373824123151,
76,Bike Sharing,1.0,holiday,,405.9804143498371,418.4334879260613,24.65212305364671,0.8663289244345207,
77,Bike Sharing,1.0,hr,,16137.588845410031,8778.40044431982,45.620187940372176,1.9816546253224083,
78,Bike Sharing,1.0,hum,,16378.050709480134,8015.742921363609,2.1485677339138136,0.8306978082451423,
79,Bike Sharing,1.0,mnth,,14139.811831274594,4432.699228267793,1.8749488498381794,0.6151839796733944,
80,Bike Sharing,1.0,weathersit,,18006.08525012883,10354.914364811108,3.8808185352731868,1.8690699836979476,
81,Bike Sharing,1.0,weekday,,16457.887777112544,7154.953780668926,2.666686964426477,0.7731174673193275,
82,Bike Sharing,1.0,windspeed,,19056.918140835307,7031.0400951753345,2.4035776572489156,1.5569545290934546,
83,Bike Sharing,1.0,workingday,,87.50359094327848,79.49703933239473,0.10480000380619744,0.07768003101062895,
