dataset,epsilon,feature,feature_index,repetition,resolution,mse,seed
Adult Income,0.5,age,0,0,20,0.06905919376433728,85062
Adult Income,0.5,workclass,1,0,20,0.009761295179261092,63696
Adult Income,0.5,education,2,0,20,0.09241728612621337,51113
Adult Income,0.5,education-num,3,0,20,0.08354176759552613,26978
Adult Income,0.5,marital-status,4,0,20,0.014373191172046143,30782
Adult Income,0.5,occupation,5,0,20,0.10920318912330378,4097
Adult Income,0.5,relationship,6,0,20,0.017694702354608103,7524
Adult Income,0.5,race,7,0,20,0.004494701956344841,1652
Adult Income,0.5,sex,8,0,20,0.001821316027380751,17526
Adult Income,0.5,capital-gain,9,0,20,0.052935691157327575,81327
Adult Income,0.5,capital-loss,10,0,20,0.05922511658476371,64941
Adult Income,0.5,hours-per-week,11,0,20,0.04239045696076106,91275
Adult Income,0.5,native-country,12,0,20,0.29258203168625085,50362
Adult Income,0.5,age,0,1,20,0.046592168566878214,60663
Adult Income,0.5,workclass,1,1,20,0.05011694280965614,97074
Adult Income,0.5,education,2,1,20,0.048362711667005676,72949
Adult Income,0.5,education-num,3,1,20,0.13700024023432986,63227
Adult Income,0.5,marital-status,4,1,20,0.013382644905255524,54362
Adult Income,0.5,occupation,5,1,20,0.0521267503048189,55991
Adult Income,0.5,relationship,6,1,20,0.0034430532859417305,93507
Adult Income,0.5,race,7,1,20,0.0058533573924156295,27734
Adult Income,0.5,sex,8,1,20,0.003945775723599495,81585
Adult Income,0.5,capital-gain,9,1,20,0.03876556078784033,67087
Adult Income,0.5,capital-loss,10,1,20,0.07876762076102523,273
Adult Income,0.5,hours-per-week,11,1,20,0.09755037460569455,39414
Adult Income,0.5,native-country,12,1,20,0.30026538560982136,85740
Adult Income,0.5,age,0,2,20,0.07578725344087474,55431
Adult Income,0.5,workclass,1,2,20,0.00857929323676125,3358
Adult Income,0.5,education,2,2,20,0.13413350397996424,76488
Adult Income,0.5,education-num,3,2,20,0.054670674969282344,72965
Adult Income,0.5,marital-status,4,2,20,0.0064507099008709245,84657
Adult Income,0.5,occupation,5,2,20,0.06458029930727985,17565
Adult Income,0.5,relationship,6,2,20,0.004603099525683226,8928
Adult Income,0.5,race,7,2,20,0.004511623208694722,86317
Adult Income,0.5,sex,8,2,20,0.005221586371140089,2210
Adult Income,0.5,capital-gain,9,2,20,0.19798469909695507,54146
Adult Income,0.5,capital-loss,10,2,20,0.03498618579477012,8039
Adult Income,0.5,hours-per-week,11,2,20,0.08081056903132965,29971
Adult Income,0.5,native-country,12,2,20,0.5210189504538617,48106
Adult Income,0.5,age,0,3,20,0.04574553798007676,42268
Adult Income,0.5,workclass,1,3,20,0.02052932061886458,40323
Adult Income,0.5,education,2,3,20,0.09398204480300808,2831
Adult Income,0.5,education-num,3,3,20,0.023061832559314148,535
Adult Income,0.5,marital-status,4,3,20,0.01116635941436297,12428
Adult Income,0.5,occupation,5,3,20,0.11942745901849847,828
Adult Income,0.5,relationship,6,3,20,0.009944431035302313,67062
Adult Income,0.5,race,7,3,20,0.0056277976350571435,52561
Adult Income,0.5,sex,8,3,20,0.0005445996462099527,64718
Adult Income,0.5,capital-gain,9,3,20,0.05260327060619454,25729
Adult Income,0.5,capital-loss,10,3,20,0.05279350583771197,61538
Adult Income,0.5,hours-per-week,11,3,20,0.04453534176962344,76405
Adult Income,0.5,native-country,12,3,20,0.388072753762616,38367
Adult Income,0.5,age,0,4,20,0.0971683174437692,46092
Adult Income,0.5,workclass,1,4,20,0.0051707662398793675,99720
Adult Income,0.5,education,2,4,20,0.06457227031246168,80498
Adult Income,0.5,education-num,3,4,20,0.0860335620067933,98083
Adult Income,0.5,marital-status,4,4,20,0.01254151556914512,37952
Adult Income,0.5,occupation,5,4,20,0.051341707641807156,68554
Adult Income,0.5,relationship,6,4,20,0.004688103746280154,95010
Adult Income,0.5,race,7,4,20,0.006289901481265371,65045
Adult Income,0.5,sex,8,4,20,0.004060519537376422,84031
