dataset,epsilon,feature,feature_index,repetition,resolution,mse,seed
Adult Income,0.5,age,0,0,10,0.02395438487783836,85062
Adult Income,0.5,age,0,0,20,0.05291841828111197,63696
Adult Income,0.5,age,0,0,50,0.3363456735626691,51113
Adult Income,0.5,age,0,0,100,1.4480463003156896,26978
Adult Income,0.5,capital-gain,9,0,10,0.026055332198188404,30782
Adult Income,0.5,capital-gain,9,0,20,0.16933527856625563,4097
Adult Income,0.5,capital-gain,9,0,50,0.4152138245883867,7524
Adult Income,0.5,capital-gain,9,0,100,1.4376786622790407,1652
Adult Income,0.5,age,0,1,10,0.03238948308561087,17526
Adult Income,0.5,age,0,1,20,0.05023961789651419,81327
Adult Income,0.5,age,0,1,50,0.5008755443923203,64941
Adult Income,0.5,age,0,1,100,2.223325322507965,91275
Adult Income,0.5,capital-gain,9,1,10,0.016956719498968757,50362
Adult Income,0.5,capital-gain,9,1,20,0.05062839226241387,60663
Adult Income,0.5,capital-gain,9,1,50,0.3347160248099831,97074
Adult Income,0.5,capital-gain,9,1,100,1.515097315413286,72949
Adult Income,0.5,age,0,2,10,0.04715129960772535,63227
Adult Income,0.5,age,0,2,20,0.06577270359168663,54362
Adult Income,0.5,age,0,2,50,0.3056484436745094,55991
Adult Income,0.5,age,0,2,100,1.7478936207647402,93507
Adult Income,0.5,capital-gain,9,2,10,0.012864868956651072,27734
Adult Income,0.5,capital-gain,9,2,20,0.09729142112887385,81585
Adult Income,0.5,capital-gain,9,2,50,0.2799019414167991,67087
Adult Income,0.5,capital-gain,9,2,100,1.59995468618156,273
Adult Income,0.5,age,0,3,10,0.03285445722365013,39414
Adult Income,0.5,age,0,3,20,0.03773677305935686,85740
Adult Income,0.5,age,0,3,50,0.30785754560671696,55431
Adult Income,0.5,age,0,3,100,1.5068734357829412,3358
Adult Income,0.5,capital-gain,9,3,10,0.03941591767625222,76488
Adult Income,0.5,capital-gain,9,3,20,0.05829556647407095,72965
Adult Income,0.5,capital-gain,9,3,50,0.4303134271474113,84657
Adult Income,0.5,capital-gain,9,3,100,2.2058049785581706,17565
Adult Income,0.5,age,0,4,10,0.020667437477841243,8928
Adult Income,0.5,age,0,4,20,0.052863545582268474,86317
Adult Income,0.5,age,0,4,50,0.5199467683032565,2210
Adult Income,0.5,age,0,4,100,2.254327915241831,54146
Adult Income,0.5,capital-gain,9,4,10,0.01653953682373181,8039
Adult Income,0.5,capital-gain,9,4,20,0.07930981771366334,29971
Adult Income,0.5,capital-gain,9,4,50,0.4865898296604164,48106
Adult Income,0.5,capital-gain,9,4,100,1.5999483605151077,42268
Adult Income,0.5,age,0,5,10,0.024384425598082002,40323
Adult Income,0.5,age,0,5,20,0.09253459275491027,2831
Adult Income,0.5,age,0,5,50,0.32555712403998893,535
Adult Income,0.5,age,0,5,100,1.3866184076527026,12428
Adult Income,0.5,capital-gain,9,5,10,0.051951036829185455,828
Adult Income,0.5,capital-gain,9,5,20,0.04917009453629618,67062
Adult Income,0.5,capital-gain,9,5,50,0.623357545614718,52561
Adult Income,0.5,capital-gain,9,5,100,1.7912555755882007,64718
Adult Income,0.5,age,0,6,10,0.01001320699284924,25729
Adult Income,0.5,age,0,6,20,0.06440736155528677,61538
Adult Income,0.5,age,0,6,50,0.3527731560411006,76405
Adult Income,0.5,age,0,6,100,1.5890196417350166,38367
Adult Income,0.5,capital-gain,9,6,10,0.035853905797570744,46092
Adult Income,0.5,capital-gain,9,6,20,0.017128755713773064,99720
Adult Income,0.5,capital-gain,9,6,50,0.66018237166603,80498
Adult Income,0.5,capital-gain,9,6,100,1.5660296603336217,98083
Adult Income,0.5,age,0,7,10,0.011358524324676265,37952
Adult Income,0.5,age,0,7,20,0.05710851723744965,68554
Adult Income,0.5,age,0,7,50,0.49031347858640034,95010
Adult Income,0.5,age,0,7,100,1.4428767309288277,65045
Adult Income,0.5,capital-gain,9,7,10,0.01716038498611909,84031
Adult Income,0.5,capital-gain,9,7,20,0.040726298993570303,68844
Adult Income,0.5,capital-gain,9,7,50,0.548103996353008,70400
Adult Income,0.5,capital-gain,9,7,100,2.82064576772323,38892
Adult Income,0.5,age,0,8,10,0.006974209512525249,87515
Adult Income,0.5,age,0,8,20,0.035944279210947956,13509
Adult Income,0.5,age,0,8,50,0.4658266336264903,57890
Adult Income,0.5,age,0,8,100,2.5986549156706236,72148
Adult Income,0.5,capital-gain,9,8,10,0.021485311732428052,84548
Adult Income,0.5,capital-gain,9,8,20,0.063170544651614,52535
Adult Income,0.5,capital-gain,9,8,50,0.23032817837583952,37541
Adult Income,0.5,capital-gain,9,8,100,1.564525754658183,31024
Adult Income,0.5,age,0,9,10,0.006005208350193433,42295
Adult Income,0.5,age,0,9,20,0.04560966648134421,48583
Adult Income,0.5,age,0,9,50,0.34672588320867775,71882
Adult Income,0.5,age,0,9,100,1.7040491714086823,88948
Adult Income,0.5,capital-gain,9,9,10,0.03359801714064999,7294
Adult Income,0.5,capital-gain,9,9,20,0.048125057374630006,93404
Adult Income,0.5,capital-gain,9,9,50,0.23971798556582816,53134
Adult Income,0.5,capital-gain,9,9,100,1.268498333494563,35779
Adult Income,1.0,age,0,0,10,0.0013692226855328419,67273
Adult Income,1.0,age,0,0,20,0.01724358292758182,57152
Adult Income,1.0,age,0,0,50,0.09930189875069244,25460
Adult Income,1.0,age,0,0,100,0.2730384981580026,32186
Adult Income,1.0,capital-gain,9,0,10,0.009879077510092442,71951
Adult Income,1.0,capital-gain,9,0,20,0.04775315405420176,59430
Adult Income,1.0,capital-gain,9,0,50,0.15993065062167072,50441
Adult Income,1.0,capital-gain,9,0,100,0.35766051052178727,33791
Adult Income,1.0,age,0,1,10,0.004226298994359259,76065
Adult Income,1.0,age,0,1,20,0.016181249544155965,39161
Adult Income,1.0,age,0,1,50,0.12698982461980926,32817
Adult Income,1.0,age,0,1,100,0.6487640874058994,89027
Adult Income,1.0,capital-gain,9,1,10,0.004438673970951477,26392
Adult Income,1.0,capital-gain,9,1,20,0.013172618379790961,22715
Adult Income,1.0,capital-gain,9,1,50,0.07434528022603962,71417
Adult Income,1.0,capital-gain,9,1,100,0.2977673759280008,62318
Adult Income,1.0,age,0,2,10,0.001734161631571143,4854
Adult Income,1.0,age,0,2,20,0.018872921252280732,8401
Adult Income,1.0,age,0,2,50,0.07373572675066682,37713
Adult Income,1.0,age,0,2,100,0.40492311685759513,83264
Adult Income,1.0,capital-gain,9,2,10,0.00460744482429797,40084
Adult Income,1.0,capital-gain,9,2,20,0.020492071113748064,78709
Adult Income,1.0,capital-gain,9,2,50,0.08529789119366663,31646
Adult Income,1.0,capital-gain,9,2,100,0.43742967705436625,23936
Adult Income,1.0,age,0,3,10,0.0067056452740975004,79168
Adult Income,1.0,age,0,3,20,0.013694224026442641,87648
Adult Income,1.0,age,0,3,50,0.10426513313224112,7929
Adult Income,1.0,age,0,3,100,0.4311251255047544,5856
Adult Income,1.0,capital-gain,9,3,10,0.00720916785674523,67126
Adult Income,1.0,capital-gain,9,3,20,0.01704561621613329,33611
Adult Income,1.0,capital-gain,9,3,50,0.10690546522894709,57364
Adult Income,1.0,capital-gain,9,3,100,0.4456144838713147,15027
Adult Income,1.0,age,0,4,10,0.002501779196451479,86004
Adult Income,1.0,age,0,4,20,0.014541377229034508,45033
Adult Income,1.0,age,0,4,50,0.1438869575103335,89499
Adult Income,1.0,age,0,4,100,0.3122622936220761,79632
Adult Income,1.0,capital-gain,9,4,10,0.008617474263266301,70534
Adult Income,1.0,capital-gain,9,4,20,0.05678985965033639,23064
Adult Income,1.0,capital-gain,9,4,50,0.0820339569649272,76700
Adult Income,1.0,capital-gain,9,4,100,0.38308768008668187,5202
Adult Income,1.0,age,0,5,10,0.006143393367368669,57009
Adult Income,1.0,age,0,5,20,0.006251448168534182,40455
