,dataset,epsilon,feature,resolution,mean MSE PDP generic,std PDP generic,mean MSE PDP specific,std PDP specific,splits
0,Adult Income,0.5,age,10,0.021575263705099167,0.012674214936475227,8.341333107085886e-05,9.713127021976816e-06,
1,Adult Income,0.5,capital-gain,10,0.02718810316397451,0.011985381975202991,0.00228464599538586,1.7622044996918523e-05,
2,Adult Income,0.5,age,20,0.055513547565087654,0.015479277443719469,5.422347904420747e-05,1.8024348901136974e-05,
3,Adult Income,0.5,capital-gain,20,0.06731812274151608,0.03968712362337469,0.0022813465180836798,3.493786127961242e-05,
4,Adult Income,0.5,age,50,0.395187025104213,0.08299138206259836,8.835846152634955e-05,2.7956563990748002e-05,
5,Adult Income,0.5,capital-gain,50,0.42484251251984195,0.14668309527092308,0.00028054597105778,1.9608170211862992e-05,
6,Adult Income,0.5,age,100,1.7901685462009023,0.39839071150619265,0.00036851954331223,9.9808538310545e-05,
7,Adult Income,0.5,capital-gain,100,1.7369439094744963,0.43033481874971685,0.00060258360748919,7.47981159947627e-05,
8,Adult Income,1.0,age,10,0.00333175488862992,0.00201549283392848,8.060415423694204e-05,4.704562150243001e-06,
9,Adult Income,1.0,capital-gain,10,0.00653260355626155,0.001779802146895372,0.00227686764473113,1.9086766240915186e-05,
10,Adult Income,1.0,age,20,0.01631828896012983,0.008005781445303664,3.733819306490442e-05,4.992018068297721e-06,
11,Adult Income,1.0,capital-gain,20,0.02385333156785089,0.01645178681185036,0.00226215580202664,3.0809362070731825e-05,
12,Adult Income,1.0,age,50,0.10554325166355587,0.026008186018050886,3.7713335086354005e-05,9.024631503720133e-06,
13,Adult Income,1.0,capital-gain,50,0.10885774212619022,0.03894724543024631,0.00024110105776825995,9.769670530956222e-06,
14,Adult Income,1.0,age,100,0.4010328141167155,0.09586747031654799,8.452477317169455e-05,1.1482135578888012e-05,
15,Adult Income,1.0,capital-gain,100,0.3891505021232824,0.07289884678199005,0.00038177424182949,2.8842544031666385e-05,
16,Adult Income,2.0,age,10,0.0012734356832951003,0.000739653481080039,7.974437059053602e-05,1.7504053441549438e-06,
17,Adult Income,2.0,capital-gain,10,0.00381359721959419,0.0015776956001728618,0.0022819524602745002,4.7630650070611e-06,
