dataset,epsilon,feature,feature_index,repetition,resolution,mse,seed
Adult Income,0.5,age,0,0,20,3.8747681944012754e-05,85062
Adult Income,0.5,workclass,1,0,20,6.352251861509933e-08,63696
Adult Income,0.5,education,2,0,20,9.19734152170974e-06,51113
Adult Income,0.5,education-num,3,0,20,0.0002226532058611141,26978
Adult Income,0.5,marital-status,4,0,20,1.305319487622869e-06,30782
Adult Income,0.5,occupation,5,0,20,1.0495223458305382e-06,4097
Adult Income,0.5,relationship,6,0,20,3.0332056763867114e-07,7524
Adult Income,0.5,race,7,0,20,2.0843490371760758e-07,1652
Adult Income,0.5,sex,8,0,20,1.4099930404485946e-09,17526
Adult Income,0.5,capital-gain,9,0,20,0.0022403090748404067,81327
Adult Income,0.5,capital-loss,10,0,20,0.0006945808535747585,64941
Adult Income,0.5,hours-per-week,11,0,20,2.1904160288370883e-05,91275
Adult Income,0.5,native-country,12,0,20,1.9829135679439498e-05,50362
Adult Income,0.5,age,0,1,20,4.110616893462621e-05,60663
Adult Income,0.5,workclass,1,1,20,3.9747878707633804e-08,97074
Adult Income,0.5,education,2,1,20,2.6831845987701806e-06,72949
Adult Income,0.5,education-num,3,1,20,0.00020474375336102,63227
Adult Income,0.5,marital-status,4,1,20,1.9939386521855084e-07,54362
Adult Income,0.5,occupation,5,1,20,1.1451019113396796e-06,55991
Adult Income,0.5,relationship,6,1,20,3.6902660304137067e-08,93507
Adult Income,0.5,race,7,1,20,4.618727336278383e-07,27734
Adult Income,0.5,sex,8,1,20,3.202404774731214e-11,81585
Adult Income,0.5,capital-gain,9,1,20,0.0022550968603988423,67087
Adult Income,0.5,capital-loss,10,1,20,0.0006923018372311429,273
Adult Income,0.5,hours-per-week,11,1,20,2.2952073606820813e-05,39414
Adult Income,0.5,native-country,12,1,20,1.8133187308439552e-05,85740
Adult Income,0.5,age,0,2,20,4.1775250971738745e-05,55431
Adult Income,0.5,workclass,1,2,20,2.009213143326049e-06,3358
Adult Income,0.5,education,2,2,20,2.362034086596694e-06,76488
Adult Income,0.5,education-num,3,2,20,0.0002178718695337787,72965
Adult Income,0.5,marital-status,4,2,20,7.619981881875131e-07,84657
Adult Income,0.5,occupation,5,2,20,1.4219008772024737e-06,17565
Adult Income,0.5,relationship,6,2,20,1.4028633006480347e-07,8928
Adult Income,0.5,race,7,2,20,6.601184784916431e-07,86317
Adult Income,0.5,sex,8,2,20,1.4160522934261795e-08,2210
Adult Income,0.5,capital-gain,9,2,20,0.0023123372614325117,54146
Adult Income,0.5,capital-loss,10,2,20,0.0007104563016501164,8039
Adult Income,0.5,hours-per-week,11,2,20,1.4036569087063319e-05,29971
Adult Income,0.5,native-country,12,2,20,9.785780026077972e-06,48106
Adult Income,0.5,age,0,3,20,3.576540690952636e-05,42268
Adult Income,0.5,workclass,1,3,20,1.19574320833298e-06,40323
Adult Income,0.5,education,2,3,20,3.892582652579996e-06,2831
Adult Income,0.5,education-num,3,3,20,0.00022626552987350091,535
Adult Income,0.5,marital-status,4,3,20,9.569060880772835e-07,12428
Adult Income,0.5,occupation,5,3,20,4.393419974446093e-06,828
Adult Income,0.5,relationship,6,3,20,2.51191731741164e-07,67062
Adult Income,0.5,race,7,3,20,1.861106238711649e-07,52561
Adult Income,0.5,sex,8,3,20,9.666522476177739e-08,64718
Adult Income,0.5,capital-gain,9,3,20,0.002236645773348989,25729
Adult Income,0.5,capital-loss,10,3,20,0.0007085863150488927,61538
Adult Income,0.5,hours-per-week,11,3,20,1.3127222285321133e-05,76405
Adult Income,0.5,native-country,12,3,20,2.3044009192054634e-05,38367
Adult Income,0.5,age,0,4,20,3.8289716852564476e-05,46092
Adult Income,0.5,workclass,1,4,20,3.887125467531155e-07,99720
Adult Income,0.5,education,2,4,20,1.8174082220129923e-06,80498
Adult Income,0.5,education-num,3,4,20,0.00020588919805567015,98083
Adult Income,0.5,marital-status,4,4,20,1.4595543155184923e-06,37952
Adult Income,0.5,occupation,5,4,20,9.991250463462507e-07,68554
Adult Income,0.5,relationship,6,4,20,4.2629603032807857e-07,95010
Adult Income,0.5,race,7,4,20,4.2360588389109583e-07,65045
Adult Income,0.5,sex,8,4,20,4.552674734048208e-09,84031
Adult Income,0.5,capital-gain,9,4,20,0.0022422064068047037,68844
Adult Income,0.5,capital-loss,10,4,20,0.000700535955399087,70400
Adult Income,0.5,hours-per-week,11,4,20,1.556333400323155e-05,38892
Adult Income,0.5,native-country,12,4,20,2.5373446136689324e-05,87515
Adult Income,0.5,age,0,5,20,3.8579606035060085e-05,13509
Adult Income,0.5,workclass,1,5,20,2.9244762153236026e-07,57890
Adult Income,0.5,education,2,5,20,2.703573705127887e-06,72148
Adult Income,0.5,education-num,3,5,20,0.0002052719702153347,84548
Adult Income,0.5,marital-status,4,5,20,4.259105759707574e-07,52535
Adult Income,0.5,occupation,5,5,20,1.3414476372075058e-06,37541
Adult Income,0.5,relationship,6,5,20,1.798850008575266e-07,31024
Adult Income,0.5,race,7,5,20,2.8722000354334126e-07,42295
Adult Income,0.5,sex,8,5,20,2.340522507403838e-09,48583
Adult Income,0.5,capital-gain,9,5,20,0.0022323721396965597,71882
Adult Income,0.5,capital-loss,10,5,20,0.0007052508839337908,88948
Adult Income,0.5,hours-per-week,11,5,20,2.2829309198419155e-05,7294
Adult Income,0.5,native-country,12,5,20,2.2241879930829575e-05,93404
Adult Income,0.5,age,0,6,20,3.6230602856893736e-05,53134
Adult Income,0.5,workclass,1,6,20,6.829803741367642e-07,35779
