dataset,epsilon,feature,feature_index,repetition,resolution,mse,seed
Adult Income,0.5,age,0,0,10,9.021394869365682e-05,85062
Adult Income,0.5,age,0,0,20,5.315863524642199e-05,63696
Adult Income,0.5,age,0,0,50,0.00014822638586107906,51113
Adult Income,0.5,age,0,0,100,0.00024147408521791005,26978
Adult Income,0.5,capital-gain,9,0,10,0.002287782271939774,30782
Adult Income,0.5,capital-gain,9,0,20,0.00224851805335755,4097
Adult Income,0.5,capital-gain,9,0,50,0.00028183073586777275,7524
Adult Income,0.5,capital-gain,9,0,100,0.0006692667505417329,1652
Adult Income,0.5,age,0,1,10,6.949599015728404e-05,17526
Adult Income,0.5,age,0,1,20,4.802257877892384e-05,81327
Adult Income,0.5,age,0,1,50,9.404248400519292e-05,64941
Adult Income,0.5,age,0,1,100,0.00035494277011957186,91275
Adult Income,0.5,capital-gain,9,1,10,0.0022746597135650626,50362
Adult Income,0.5,capital-gain,9,1,20,0.002313845117109194,60663
Adult Income,0.5,capital-gain,9,1,50,0.00027928653000870176,97074
Adult Income,0.5,capital-gain,9,1,100,0.0006110789215719765,72949
Adult Income,0.5,age,0,2,10,7.844846765211983e-05,63227
Adult Income,0.5,age,0,2,20,4.041855798593111e-05,54362
Adult Income,0.5,age,0,2,50,6.291097112771352e-05,55991
Adult Income,0.5,age,0,2,100,0.0003983285229381943,93507
Adult Income,0.5,capital-gain,9,2,10,0.0022869987000864855,27734
Adult Income,0.5,capital-gain,9,2,20,0.0022643438792838613,81585
Adult Income,0.5,capital-gain,9,2,50,0.00029137422815412895,67087
Adult Income,0.5,capital-gain,9,2,100,0.0005070506223432854,273
Adult Income,0.5,age,0,3,10,6.901295400520614e-05,39414
Adult Income,0.5,age,0,3,20,3.720255447154485e-05,85740
Adult Income,0.5,age,0,3,50,6.419223518623562e-05,55431
Adult Income,0.5,age,0,3,100,0.00031523645549086116,3358
Adult Income,0.5,capital-gain,9,3,10,0.0023153364826589908,76488
Adult Income,0.5,capital-gain,9,3,20,0.002336431895556521,72965
Adult Income,0.5,capital-gain,9,3,50,0.00025686537810228933,84657
Adult Income,0.5,capital-gain,9,3,100,0.0006022667659118056,17565
Adult Income,0.5,age,0,4,10,7.948147669140956e-05,8928
Adult Income,0.5,age,0,4,20,7.945819985102715e-05,86317
Adult Income,0.5,age,0,4,50,0.00010087003264823965,2210
Adult Income,0.5,age,0,4,100,0.0002502321062648154,54146
Adult Income,0.5,capital-gain,9,4,10,0.0023104274551679497,8039
Adult Income,0.5,capital-gain,9,4,20,0.0022249015566567602,29971
Adult Income,0.5,capital-gain,9,4,50,0.0002561725679193706,48106
Adult Income,0.5,capital-gain,9,4,100,0.0005665867662449118,42268
Adult Income,0.5,age,0,5,10,9.719701294660966e-05,40323
Adult Income,0.5,age,0,5,20,4.918795896558978e-05,2831
Adult Income,0.5,age,0,5,50,0.000126923312473541,535
Adult Income,0.5,age,0,5,100,0.0002548945729748382,12428
Adult Income,0.5,capital-gain,9,5,10,0.002250634290539027,828
Adult Income,0.5,capital-gain,9,5,20,0.002281130549974948,67062
Adult Income,0.5,capital-gain,9,5,50,0.00026676291558018874,52561
Adult Income,0.5,capital-gain,9,5,100,0.00049301239772861,64718
Adult Income,0.5,age,0,6,10,8.161506611843597e-05,25729
Adult Income,0.5,age,0,6,20,9.636038644979448e-05,61538
Adult Income,0.5,age,0,6,50,6.160757333552209e-05,76405
Adult Income,0.5,age,0,6,100,0.0005289005939946512,38367
Adult Income,0.5,capital-gain,9,6,10,0.002289124914334083,46092
Adult Income,0.5,capital-gain,9,6,20,0.0023158559834855538,99720
Adult Income,0.5,capital-gain,9,6,50,0.00029378278666419215,80498
Adult Income,0.5,capital-gain,9,6,100,0.0007173881575335654,98083
Adult Income,0.5,age,0,7,10,9.839884614964372e-05,37952
Adult Income,0.5,age,0,7,20,3.9809605257521244e-05,68554
Adult Income,0.5,age,0,7,50,7.770270738533519e-05,95010
Adult Income,0.5,age,0,7,100,0.00040773836001048805,65045
Adult Income,0.5,capital-gain,9,7,10,0.002273898361588904,84031
Adult Income,0.5,capital-gain,9,7,20,0.0022370837696547925,68844
Adult Income,0.5,capital-gain,9,7,50,0.00028610794557732463,70400
Adult Income,0.5,capital-gain,9,7,100,0.0005650220517402802,38892
Adult Income,0.5,age,0,8,10,8.111536234708232e-05,87515
Adult Income,0.5,age,0,8,20,4.5115803506249814e-05,13509
Adult Income,0.5,age,0,8,50,6.824514477410652e-05,57890
Adult Income,0.5,age,0,8,100,0.0004114341527487235,72148
Adult Income,0.5,capital-gain,9,8,10,0.0022821850201023195,84548
Adult Income,0.5,capital-gain,9,8,20,0.002296743801320624,52535
Adult Income,0.5,capital-gain,9,8,50,0.0002678682412738825,37541
Adult Income,0.5,capital-gain,9,8,100,0.0007193637626410525,31024
Adult Income,0.5,age,0,9,10,8.91541859471405e-05,42295
Adult Income,0.5,age,0,9,20,5.350050992907035e-05,48583
Adult Income,0.5,age,0,9,50,7.886376846668972e-05,71882
Adult Income,0.5,age,0,9,100,0.0005220138133627303,88948
Adult Income,0.5,capital-gain,9,9,10,0.0022754127438765893,7294
Adult Income,0.5,capital-gain,9,9,20,0.0022946105744375707,93404
Adult Income,0.5,capital-gain,9,9,50,0.00032540838143056184,53134
Adult Income,0.5,capital-gain,9,9,100,0.0005747998786351334,35779
Adult Income,1.0,age,0,0,10,7.610837276139065e-05,67273
Adult Income,1.0,age,0,0,20,3.682519534843642e-05,57152
Adult Income,1.0,age,0,0,50,3.2201782908214806e-05,25460
Adult Income,1.0,age,0,0,100,8.998313948955518e-05,32186
Adult Income,1.0,capital-gain,9,0,10,0.002280502017621996,71951
Adult Income,1.0,capital-gain,9,0,20,0.0022518294655192563,59430
Adult Income,1.0,capital-gain,9,0,50,0.00024752714383559886,50441
Adult Income,1.0,capital-gain,9,0,100,0.0003819115852770115,33791
Adult Income,1.0,age,0,1,10,9.301545074591763e-05,76065
Adult Income,1.0,age,0,1,20,3.398681123049954e-05,39161
Adult Income,1.0,age,0,1,50,4.831322499291188e-05,32817
Adult Income,1.0,age,0,1,100,8.472301287962363e-05,89027
Adult Income,1.0,capital-gain,9,1,10,0.0022628457266210536,26392
Adult Income,1.0,capital-gain,9,1,20,0.002285621852173456,22715
Adult Income,1.0,capital-gain,9,1,50,0.00024747189847913303,71417
Adult Income,1.0,capital-gain,9,1,100,0.00032027002923141676,62318
Adult Income,1.0,age,0,2,10,7.766512745900049e-05,4854
Adult Income,1.0,age,0,2,20,4.740609977287943e-05,8401
Adult Income,1.0,age,0,2,50,3.601283216832576e-05,37713
Adult Income,1.0,age,0,2,100,7.473726937358988e-05,83264
Adult Income,1.0,capital-gain,9,2,10,0.0022775545912176232,40084
Adult Income,1.0,capital-gain,9,2,20,0.002315553050954632,78709
Adult Income,1.0,capital-gain,9,2,50,0.000236770022175468,31646
Adult Income,1.0,capital-gain,9,2,100,0.0003854526973875599,23936
Adult Income,1.0,age,0,3,10,8.181386115100125e-05,79168
Adult Income,1.0,age,0,3,20,2.9494281089126743e-05,87648
Adult Income,1.0,age,0,3,50,5.457298789240315e-05,7929
Adult Income,1.0,age,0,3,100,8.861110269851013e-05,5856
Adult Income,1.0,capital-gain,9,3,10,0.0022776224954972513,67126
Adult Income,1.0,capital-gain,9,3,20,0.002197210941617548,33611
Adult Income,1.0,capital-gain,9,3,50,0.00023277068303400485,57364
Adult Income,1.0,capital-gain,9,3,100,0.00042067235621396693,15027
Adult Income,1.0,age,0,4,10,8.40070035225058e-05,86004
Adult Income,1.0,age,0,4,20,3.587276142124231e-05,45033
Adult Income,1.0,age,0,4,50,4.363581520856467e-05,89499
Adult Income,1.0,age,0,4,100,9.334222831763012e-05,79632
Adult Income,1.0,capital-gain,9,4,10,0.0022273778912953275,70534
Adult Income,1.0,capital-gain,9,4,20,0.0022480940126016653,23064
Adult Income,1.0,capital-gain,9,4,50,0.00023433495192950177,76700
Adult Income,1.0,capital-gain,9,4,100,0.0003537257720596662,5202
Adult Income,1.0,age,0,5,10,7.954107096305531e-05,57009
Adult Income,1.0,age,0,5,20,3.998189894331859e-05,40455
Adult Income,1.0,age,0,5,50,2.259166649737602e-05,99664
Adult Income,1.0,age,0,5,100,7.404254504581493e-05,19851
Adult Income,1.0,capital-gain,9,5,10,0.0023023711509221967,94652
Adult Income,1.0,capital-gain,9,5,20,0.002284997107524663,9075
Adult Income,1.0,capital-gain,9,5,50,0.0002246027587301823,62317
Adult Income,1.0,capital-gain,9,5,100,0.0003900416606756662,58033
Adult Income,1.0,age,0,6,10,7.664340407618875e-05,89894
Adult Income,1.0,age,0,6,20,4.374076703627726e-05,29869
Adult Income,1.0,age,0,6,50,4.036373895521847e-05,90207
Adult Income,1.0,age,0,6,100,9.083190671091411e-05,67199
Adult Income,1.0,capital-gain,9,6,10,0.002289996987947728,89039
Adult Income,1.0,capital-gain,9,6,20,0.002258172209923869,19951
Adult Income,1.0,capital-gain,9,6,50,0.00026229842532891196,75824
Adult Income,1.0,capital-gain,9,6,100,0.0003773717837734495,94211
Adult Income,1.0,age,0,7,10,8.011878850253243e-05,4859
Adult Income,1.0,age,0,7,20,3.8178755158180846e-05,36511
Adult Income,1.0,age,0,7,50,3.093384377087674e-05,63651
Adult Income,1.0,age,0,7,100,0.00010354150885814433,10549
Adult Income,1.0,capital-gain,9,7,10,0.0022832753800210285,51006
Adult Income,1.0,capital-gain,9,7,20,0.0022461021888129104,62910
Adult Income,1.0,capital-gain,9,7,50,0.0002433608906950334,76398
Adult Income,1.0,capital-gain,9,7,100,0.0004234519148885993,92715
Adult Income,1.0,age,0,8,10,7.866480273138954e-05,40982
Adult Income,1.0,age,0,8,20,3.465141836895284e-05,44037
Adult Income,1.0,age,0,8,50,3.8938851498312797e-05,47421
Adult Income,1.0,age,0,8,100,6.0303721768863543e-05,95459
Adult Income,1.0,capital-gain,9,8,10,0.002279733213105131,19575
Adult Income,1.0,capital-gain,9,8,20,0.002286041412178388,49989
Adult Income,1.0,capital-gain,9,8,50,0.00023849086139948907,4983
Adult Income,1.0,capital-gain,9,8,100,0.0003683293116433012,42522
Adult Income,1.0,age,0,9,10,7.846366045643838e-05,94531
Adult Income,1.0,age,0,9,20,3.324394228013021e-05,62021
Adult Income,1.0,age,0,9,50,2.956860697133569e-05,34961
Adult Income,1.0,age,0,9,100,8.513129657434398e-05,99509
Adult Income,1.0,capital-gain,9,9,10,0.0022873969930624007,60375
Adult Income,1.0,capital-gain,9,9,20,0.0022479357789605033,94894
Adult Income,1.0,capital-gain,9,9,50,0.00024338294207578608,1633
Adult Income,1.0,capital-gain,9,9,100,0.0003965153071447942,46004
