,dataset,epsilon,feature,resolution,mean KTM PFI specific,std PFI specific,mean KTM PFI generic,std PFI generic
2,Bike Sharing,0.5,,,0.8111111111111111,0.03617515688022155,0.8422222222222222,0.053931827108940386
3,Bike Sharing,1.0,,,0.86,0.06289320754704404,0.9111111111111112,0.026293687924887173
4,Bike Sharing,2.0,,,0.8844444444444445,0.04532461789860252,0.9133333333333334,0.025239592648001203
5,Bike Sharing,5.0,,,0.9111111111111112,0.04331908597692874,0.9577777777777777,0.01196703290474331
6,Bike Sharing,10.0,,,0.9200000000000002,0.03014368881389006,0.9533333333333334,0.015555555555555552
9,Census Income,0.5,,,0.9782051282051283,0.010013140610136738,0.864102564102564,0.05004928537421321
10,Census Income,1.0,,,0.9871794871794872,0.014044168141158097,0.9141025641025642,0.03489912202260568
11,Census Income,2.0,,,0.9974358974358974,0.00512820512820511,0.9717948717948719,0.021299035545943756
12,Census Income,5.0,,,0.9961538461538462,0.005875097044815159,0.985897435897436,0.010649517772971878
13,Census Income,10.0,,,1.0,0.0,0.9935897435897436,0.010336227882434003
16,Heart Disease,0.5,,,0.7171428571428573,0.062021867257771195,0.7857142857142856,0.05323971374999498
17,Heart Disease,1.0,,,0.8323809523809524,0.06448118430404097,0.8771428571428572,0.019260712777292095
18,Heart Disease,2.0,,,0.8923809523809524,0.037142857142857144,0.940952380952381,0.033752466946036834
19,Heart Disease,5.0,,,0.9495238095238095,0.02592506207393558,0.9704761904761906,0.008984743935291912
20,Heart Disease,10.0,,,0.9733333333333334,0.00933138949631681,0.9819047619047618,0.01081696827771477
