dataset,epsilon,repetition,non_private_ranking,private_ranking,similarity,seed
0,0.1,0,[2 5 7 0 4 1 6 8 3 9],[0 3 4 7 5 2 8 1 6 9],0.6,85062
0,0.1,1,[2 5 7 0 4 1 6 8 3 9],[0 2 6 7 1 5 8 3 9 4],0.7111111111111111,63696
0,0.1,2,[2 5 7 0 4 1 6 8 3 9],[3 7 2 5 0 1 8 9 4 6],0.6666666666666666,51113
0,0.1,3,[2 5 7 0 4 1 6 8 3 9],[4 9 0 7 2 8 1 3 5 6],0.4888888888888889,26978
0,0.1,4,[2 5 7 0 4 1 6 8 3 9],[8 2 5 9 0 1 4 3 6 7],0.5555555555555556,30782
0,0.1,5,[2 5 7 0 4 1 6 8 3 9],[2 0 4 3 6 7 5 1 9 8],0.6888888888888889,4097
0,0.1,6,[2 5 7 0 4 1 6 8 3 9],[5 0 7 9 6 4 8 2 3 1],0.6222222222222222,7524
0,0.1,7,[2 5 7 0 4 1 6 8 3 9],[0 5 2 8 1 7 6 3 4 9],0.7333333333333333,1652
0,0.1,8,[2 5 7 0 4 1 6 8 3 9],[2 0 5 4 7 8 9 6 3 1],0.7777777777777778,17526
0,0.1,9,[2 5 7 0 4 1 6 8 3 9],[5 8 0 1 7 3 6 9 2 4],0.5555555555555556,81327
0,0.2,0,[2 5 7 0 4 1 6 8 3 9],[2 7 0 3 6 8 4 5 1 9],0.6888888888888889,64941
0,0.2,1,[2 5 7 0 4 1 6 8 3 9],[1 2 5 7 0 9 4 3 8 6],0.7333333333333333,91275
0,0.2,2,[2 5 7 0 4 1 6 8 3 9],[9 0 2 7 6 5 3 4 8 1],0.5555555555555556,50362
0,0.2,3,[2 5 7 0 4 1 6 8 3 9],[0 7 5 4 1 8 6 9 3 2],0.6888888888888889,60663
0,0.2,4,[2 5 7 0 4 1 6 8 3 9],[2 5 0 7 4 1 3 8 6 9],0.9111111111111111,97074
0,0.2,5,[2 5 7 0 4 1 6 8 3 9],[3 5 2 6 1 0 4 7 8 9],0.6,72949
0,0.2,6,[2 5 7 0 4 1 6 8 3 9],[5 2 7 0 1 9 4 6 8 3],0.8666666666666667,63227
0,0.2,7,[2 5 7 0 4 1 6 8 3 9],[0 5 7 2 1 8 3 6 4 9],0.7555555555555555,54362
0,0.2,8,[2 5 7 0 4 1 6 8 3 9],[5 2 1 8 0 6 3 4 9 7],0.6666666666666666,55991
0,0.2,9,[2 5 7 0 4 1 6 8 3 9],[5 8 1 0 7 6 2 9 4 3],0.6,93507
0,0.5,0,[2 5 7 0 4 1 6 8 3 9],[2 0 5 7 1 8 6 4 9 3],0.8444444444444444,27734
0,0.5,1,[2 5 7 0 4 1 6 8 3 9],[2 5 7 8 0 1 9 4 3 6],0.8,81585
0,0.5,2,[2 5 7 0 4 1 6 8 3 9],[0 2 5 7 4 1 6 9 8 3],0.8888888888888888,67087
0,0.5,3,[2 5 7 0 4 1 6 8 3 9],[2 0 5 8 1 7 3 4 6 9],0.7777777777777778,273
0,0.5,4,[2 5 7 0 4 1 6 8 3 9],[2 7 0 6 5 1 3 4 9 8],0.8,39414
0,0.5,5,[2 5 7 0 4 1 6 8 3 9],[5 2 7 0 1 6 4 8 3 9],0.9333333333333333,85740
0,0.5,6,[2 5 7 0 4 1 6 8 3 9],[0 5 2 7 1 6 8 3 9 4],0.8,55431
0,0.5,7,[2 5 7 0 4 1 6 8 3 9],[2 0 7 1 5 6 8 3 4 9],0.8222222222222222,3358
0,0.5,8,[2 5 7 0 4 1 6 8 3 9],[2 5 7 0 1 6 4 8 9 3],0.9333333333333333,76488
0,0.5,9,[2 5 7 0 4 1 6 8 3 9],[2 5 0 3 7 6 4 1 8 9],0.8222222222222222,72965
0,1.0,0,[2 5 7 0 4 1 6 8 3 9],[2 5 7 0 1 6 8 4 3 9],0.9333333333333333,84657
0,1.0,1,[2 5 7 0 4 1 6 8 3 9],[2 5 0 7 4 6 1 8 3 9],0.9555555555555556,17565
0,1.0,2,[2 5 7 0 4 1 6 8 3 9],[2 0 5 7 8 4 6 1 3 9],0.8666666666666667,8928
0,1.0,3,[2 5 7 0 4 1 6 8 3 9],[2 0 5 7 4 6 1 8 3 9],0.9333333333333333,86317
0,1.0,4,[2 5 7 0 4 1 6 8 3 9],[2 5 7 0 1 8 6 4 3 9],0.9111111111111111,2210
